year,broodline,district,subdist,strmnmb,Sum_P_AUC,Sum_C_AUC,pink_strm_life,chum_strm_life
1964,Even,224,40,485,132200,2260,13.7,12.6
1964,Even,224,40,495,16572.5,45955,13.7,12.6
1964,Even,225,30,508,12000,0,9.6,12.6
1964,Even,225,30,510,38100,0,9.6,12.6
1964,Even,226,20,608,561000,0,21.5,12.6
1964,Even,226,20,630,73600,15280,21.5,12.6
1964,Even,226,20,632,45850,0,11.9,12.6
1964,Even,226,20,633,32550,0,14.7,12.6
1964,Even,226,20,636,8650,0,9,12.6
1964,Even,226,40,655,6300,0,9.6,12.6
1964,Even,226,40,663,2470,0,14.7,12.6
1964,Even,226,40,666,45400,3260,13.7,12.6
1964,Even,227,10,707,6825,1860,21.5,12.6
1964,Even,227,10,739,19200,12130,21.5,12.6
1964,Even,227,10,740,16225,0,21.5,12.6
1964,Even,227,10,741,98000,140330,21.5,12.6
1964,Even,227,20,744,24412.5,0,21.5,12.6
1964,Even,227,20,747,50375,250,21.5,12.6
1964,Even,227,20,775,44450,40000,13.7,12.6
1964,Even,228,60,812,328625,11700,21.5,12.6
1964,Even,228,60,815,381500,132900,21.5,12.6
1964,Even,228,50,817,47250,0,21.5,12.6
1964,Even,228,50,818,44625,0,21.5,12.6
1964,Even,228,50,821,162837.5,17685,21.5,12.6
1964,Even,228,40,827,59700,3150,21.5,12.6
1964,Even,228,40,828,168475,13380,21.5,12.6
1964,Even,228,40,831,171700,14400,21.5,12.6
1964,Even,228,20,837,65000,4505,21.5,12.6
1964,Even,228,30,844,140500,0,21.5,12.6
1964,Even,228,30,847,195550,0,21.5,12.6
1964,Even,228,30,850,9225,0,21.5,12.6
1964,Even,228,30,857,86250,0,14.2,12.6
1964,Even,228,30,861,77012.5,0,21.5,12.6
1965,Odd,221,20,35,85400,100800,16,12.6
1965,Odd,221,20,36,70200,3500,16,12.6
1965,Odd,221,30,48,3200,66940,16,12.6
1965,Odd,221,30,51,83130,49037,16,12.6
1965,Odd,221,30,52,1600,9180,16,12.6
1965,Odd,221,30,56,0,1750,16,12.6
1965,Odd,221,40,76,461250,0,16,12.6
1965,Odd,221,40,80,400,15900,16,12.6
1965,Odd,221,40,87,800,5040,16,12.6
1965,Odd,221,40,89,53800,1080,16,12.6
1965,Odd,221,40,92,850,0,6.8,12.6
1965,Odd,221,40,99,3870,4305,10.2,12.6
1965,Odd,221,50,115,29955,0,11.7,12.6
1965,Odd,221,50,116,17901,60352,11.7,12.6
1965,Odd,221,50,117,109600,78870,16,12.6
1965,Odd,221,50,129,16000,9450,16,12.6
1965,Odd,221,50,152,1755,18270,11.7,12.6
1965,Odd,221,50,153,56500,4515,16,12.6
1965,Odd,222,10,214,7000,32340,16,12.6
1965,Odd,222,10,216,3200,10770,16,12.6
1965,Odd,222,10,217,12125,2060,9.7,12.6
1965,Odd,222,20,224,24000,0,16,12.6
1965,Odd,222,20,229,33600,11460,16,12.6
1965,Odd,222,20,234,194500,158120,16,12.6
1965,Odd,222,20,258,55550,1260,16,12.6
1965,Odd,222,20,264,4460,12190,16,12.6
1965,Odd,222,30,279,8840,12750,6.8,12.6
1965,Odd,222,30,282,24000,3950,16,12.6
1965,Odd,223,20,303,0,0,9.7,12.6
1965,Odd,223,30,322,450800,47230,16,12.6
1965,Odd,223,10,421,11200,9340,16,12.6
1965,Odd,223,10,424,0,0,16,12.6
1965,Odd,223,10,425,800,5820,16,12.6
1965,Odd,223,10,430,14600,7430,16,12.6
1965,Odd,223,10,432,92400,20300,16,12.6
1965,Odd,224,10,450,590,2605,11.8,12.6
1965,Odd,224,10,454,24800,20340,16,12.6
1965,Odd,224,10,455,13640,3990,11.8,12.6
1965,Odd,224,10,458,0,2520,16,12.6
1965,Odd,224,10,461,5500,0,10.2,12.6
1965,Odd,224,30,476,564000,16000,16,12.6
1965,Odd,224,30,479,24570,8190,11.7,12.6
1965,Odd,224,40,480,73005,2720,11.7,12.6
1965,Odd,224,40,484,680,8580,6.8,12.6
1965,Odd,224,40,485,15420,4920,11.8,12.6
1965,Odd,224,40,495,295,0,11.8,12.6
1965,Odd,226,20,601,1455,0,9.7,12.6
1965,Odd,226,20,608,324000,0,15.6,12.6
1965,Odd,226,20,613,29600,9240,15.6,12.6
1965,Odd,226,20,630,34500,6530,16,12.6
1965,Odd,226,40,666,26850,0,11.8,12.6
1965,Odd,226,40,673,3510,0,11.7,12.6
1965,Odd,226,40,676,510,0,6.8,12.6
1965,Odd,227,10,710,6240,0,15.6,12.6
1965,Odd,227,10,711,54600,0,15.6,12.6
1965,Odd,227,10,741,25740,40950,15.6,12.6
1965,Odd,227,20,744,10920,0,15.6,12.6
1965,Odd,227,20,775,6490,3780,11.8,12.6
1965,Odd,228,60,806,59180,16300,15.6,12.6
1965,Odd,228,60,810,22600,0,15.6,12.6
1965,Odd,228,60,812,179930,12600,15.6,12.6
1965,Odd,228,60,815,449785,93980,15.6,12.6
1965,Odd,228,50,821,115850,221800,15.6,12.6
1965,Odd,228,40,827,31380,0,15.6,12.6
1965,Odd,228,40,828,145940,1260,15.6,12.6
1965,Odd,228,40,831,111900,8560,15.6,12.6
1965,Odd,228,20,835,343300,20500,15.6,12.6
1965,Odd,228,20,837,22600,1260,15.6,12.6
1965,Odd,228,30,844,47780,0,15.6,12.6
1965,Odd,228,30,847,108680,0,15.6,12.6
1965,Odd,228,30,850,54000,0,15.6,12.6
1966,Even,221,10,11,927.5,0,14.7,12.6
1966,Even,221,20,20,0,0,13.7,12.6
1966,Even,221,20,35,319587.5,64800,21.5,12.6
1966,Even,221,20,36,66905,8660,21.5,12.6
